time,gt_x,gt_y,gt_z,slam_x,slam_y,slam_z,err_x,err_y,err_z,position_error_norm,dvl_matched,dvl_time_diff,dvl_residual_x,dvl_residual_y,dvl_residual_z,yaw_error,depth_residual,mag_residual,mag_matched,mag_time_diff,mag_yaw_measured,sonar_up_matched,sonar_down_matched,sonar_left_matched,sonar_right_matched,sonar_up_residual,sonar_down_residual,sonar_left_residual,sonar_right_residual,sonar_up_range,sonar_down_range,sonar_left_range,sonar_right_range
0.255,0.044,0.0131945,0.00659845,0.0414409,0.0324315,-0.0152226,-0.00255908,0.019237,-0.021821,0.029202176296406403,1,0.035,-0.00676065,0.0349669,0.012217,0.000216275,,-0.0088196,1,0.015,0.0137202,1,1,1,1,0.0185302,-0.0239916,-0.000652844,-0.0109051,2.49659,2.50847,2.46825,2.54328
0.505,0.096,0.02875,0.0143859,0.0884434,0.0353913,0.0226492,-0.00755662,0.00664128,0.00826325,0.013018848122061336,1,0.085,-0.00875205,0.0371944,-0.00748908,3.40553e-05,,-0.0015609,1,0.005,0.011568,1,1,1,1,-0.00628413,0.0273225,-0.00903068,0.00819248,2.48366,2.49486,2.47351,2.52738
0.755,0.144,0.0430381,0.0215544,0.135601,0.0470562,0.0438215,-0.00839919,0.00401815,0.022267,0.024135269028510948,1,0.035,-0.00683106,0.0108904,-0.032893,0.000220063,,0.00112648,1,0.015,0.0138915,1,1,1,1,-0.00382574,0.0398665,-0.00288848,0.00326527,2.46011,2.50309,2.45528,2.54415
1.005,0.196,0.0584008,0.0292876,0.186245,0.0624068,0.00359512,-0.00975464,0.00400601,-0.0256925,0.02777239049667313,1,0.085,-0.0142175,-0.0190233,0.00232218,0.000285707,,-0.0031483,1,0.005,0.0232507,1,1,1,1,0.0221874,-0.0285661,-0.012925,-0.0139935,2.47438,2.53071,2.45097,2.57696
1.255,0.244,0.0724397,0.0363859,0.22739,0.0721167,0.0636385,-0.01661,-0.000323035,0.0272526,0.031917090380722754,1,0.035,0.0177517,0.00945559,0.00866266,0.000878845,,-0.00602468,1,0.015,0.0312661,1,1,1,1,-0.0388519,0.0188815,-0.0194363,-0.0139612,2.47557,2.54267,2.44624,2.58721
1.505,0.296,0.0874561,0.0440213,0.273297,0.073922,0.0360475,-0.0227027,-0.0135341,-0.0079738,0.027607352943373617,1,0.085,-0.00287421,-0.0531915,0.00729837,0.000738778,,-0.000407103,1,0.005,0.0309974,1,1,1,1,0.00843904,-0.0438414,-0.00931763,0.00598408,2.45629,2.57749,2.4355,2.56965
1.755,0.344,0.101106,0.0510094,0.322298,0.0839755,0.0413849,-0.0217023,-0.01713,-0.00962451,0.02927555154100602,1,0.035,-0.0106044,-0.0226294,0.0365596,0.00104589,,0.00537323,1,0.015,0.0302167,1,1,1,1,0.0241967,0.0229551,-0.0110126,-0.0136507,2.43534,2.51546,2.42727,2.59988
2.005,0.396,0.115626,0.058504,0.379347,0.105996,0.046929,-0.0166535,-0.00962904,-0.0115751,0.022450844384601664,1,0.085,-0.0217107,0.000739197,-0.00185371,0.000441841,,0.0118801,1,0.005,0.0286959,1,1,1,1,-0.042774,-0.0216096,0.00981456,-0.0132964,2.49659,2.5645,2.3846,2.62202
2.255,0.444,0.128749,0.0653427,0.42658,0.130765,0.064811,-0.0174195,0.00201591,-0.000531727,0.017543819623463672,1,0.035,0.0163745,0.0268225,-0.0202913,0.000609113,,0.00218437,1,0.015,0.0430047,1,1,1,1,-0.00275226,0.00176742,0.0105235,-0.00751146,2.43817,2.55735,2.35879,2.64162
2.505,0.496,0.142628,0.0726545,0.468986,0.1558,0.0784478,-0.027014,0.0131722,0.00579324,0.030607591844795633,1,0.085,0.0242038,0.0362236,-0.0194011,-0.000739791,,-4.8731e-05,1,0.005,0.0499987,1,1,1,1,0.0178125,0.0337376,0.0276142,0.0196995,2.4033,2.53686,2.31627,2.63998
2.755,0.544,0.155094,0.0793053,0.51938,0.16117,0.0679237,-0.0246203,0.00607521,-0.0113815,0.027795789085473,1,0.035,-0.00080546,0.0481264,-0.0243879,-7.04825e-05,,-0.00400433,1,0.015,0.0576024,1,1,1,1,-0.00212914,-0.0298381,-0.0105859,0.00789361,2.43459,2.5888,2.34994,2.65825
